timestamp,hour,ac_device_name,ac_power_mode,ac_operation_mode,ac_run_state,ac_current_temp_c,ac_target_temp_c,ac_current_temp_f,ac_target_temp_f,ac_fan_speed,hwh_set_point_f,hwh_mode,hwh_mode_name,hwh_running,hwh_tank_health,hwh_compressor_health,hwh_todays_energy_kwh,hwh_connected,solar_current_power_w,solar_energy_lifetime_wh,solar_system_status,ac_recommendation,hwh_recommendation,overall_recommendation,recommendation_reason
2026-04-01 21:57:14,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:57:32,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:57:50,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:58:09,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:58:27,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:58:45,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:59:04,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:59:22,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:59:41,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 21:59:58,21,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 22:00:17,22,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 22:00:33,22,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,,,,,,,,,0,4511529,unavailable,OFF,UNAVAILABLE,UNAVAILABLE,Insufficient data
2026-04-01 22:00:52,22,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 22:01:11,22,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
2026-04-01 22:01:29,22,Air Conditioner,POWER_OFF,COOL,NORMAL,22.5,22,73,72,HIGH,126,3,ENERGY_SAVING,False,100,100,1.1,True,0,4511529,unavailable,OFF,OFF,CONSERVATIVE,"Minimal electrical usage, preserving energy"
